OrderUuid,Exchange,Type,Quantity,Limit,CommissionPaid,Price,Opened,Closed
a5fecd01-e36a-469a-99c0-2dfefce42985,BTC-NMR,LIMIT_BUY,8.5,0.0008,0.000017,0.0068,10/07/2018 19:01,10/08/2018 02:44
671f48a6-8299-4fea-83ae-e6a4009a8a27,BTC-NMR,LIMIT_SELL,8.5,0.00092543,0.00001966,0.00786615,10/20/2018 6:27:39 PM,10/25/2018 11:52:42 AM
cd1ed47b-ae39-4bbd-9a13-45c6d0315ca7,BTC-POT,LIMIT_BUY,325,0.00000539,0.00000437,0.00175174,8/22/2018 8:22:54 AM,8/22/2018 8:24:54 AM
0d7b43ee-4cbb-4b6e-8ea7-fce705c01c87,BTC-LTC,LIMIT_BUY,0.21,0.00888469,0.00000466,0.00186578,8/19/2018 8:13:21 AM,8/19/2018 8:13:21 AM
35694a4d-b271-4feb-b6da-725f2b618e85,BTC-BCH,LIMIT_SELL,0.03294752,0.08822,0.00000726,0.00290663,8/18/2018 2:53:42 PM,8/18/2018 2:53:42 PM
20f150ae-89d2-4c2e-95de-89b5e0252ae4,BTC-LTC,LIMIT_BUY,0.2353649,0.0089,0.00000523,0.00209474,8/15/2018 3:48:16 PM,8/15/2018 3:48:16 PM
c71e8e34-5029-4dc9-a261-7524adf28b65,BTC-BCH,LIMIT_BUY,0.02678506,0.08193,0.00000548,0.00219449,8/15/2018 3:46:46 PM,8/15/2018 3:46:46 PM
4a7fa4e1-3934-4e38-8988-660efd82a8e6,BTC-BCH,LIMIT_BUY,0.00616246,0.08093364,0.00000124,0.00049875,8/15/2018 12:55:36 PM,8/15/2018 12:55:36 PM
b8f22515-bf3d-4248-8d9a-c21e22f21df1,BTC-LTC,LIMIT_BUY,0.05707861,0.00873795,0.00000124,0.00049875,8/15/2018 12:53:15 PM,8/15/2018 12:53:16 PM
aabf8c62-d107-4ce9-b331-e8032826a858,BTC-POT,LIMIT_SELL,2623.320168,0.00000521,0.00003416,0.01366748,8/25/2018 11:51:26 AM,8/25/2018 12:03:53 PM
3efc3e0e-6bdb-4f4f-b53b-1d9ab00fa376,BTC-POT,LIMIT_BUY,890.3768075,0.00000556,0.00001237,0.00495049,8/21/2018 11:33:58 AM,8/21/2018 11:33:58 AM
4832c801-6466-408f-87ba-1c4a4dd6e955,BTC-POT,LIMIT_BUY,131,0.00000537,0.00000175,0.00070347,8/22/2018 9:12:57 AM,8/22/2018 9:12:58 AM
4477e274-5739-49a1-9e7f-843d084a552a,BTC-LTC,LIMIT_SELL,0.21,0.00859771,0.00000451,0.00180551,8/22/2018 8:06:53 AM,8/22/2018 8:06:53 AM
535c8b35-19ab-468e-84b4-983f9797d17a,BTC-LTC,LIMIT_SELL,0.29244351,0.0089187,0.00000652,0.00260821,8/18/2018 2:51:51 PM,8/18/2018 2:51:52 PM
