Date,Market,Category,Type,Price,Amount,Total,Fee,Order Number,Base Total Less Fee,Quote Total Less Fee
12/10/2018 11:13,ZRX/BTC,Exchange,Sell,0.00012587,55.20474,0.00694862,0.10%,48604996542,0.00694168,-55.20474
07/10/2018 17:36,ZRX/BTC,Exchange,Buy,0.0001144,55.26,0.00632174,0.10%,47915416812,-0.00632174,55.20474
22/08/2018 09:05,POT/BTC,Exchange,Buy,0.00000541,1380.913124,0.00747073,0.10%,27403475168,-0.00747073,1379.532211
22/08/2018 09:04,LBC/BTC,Exchange,Sell,0.00000803,655.6628598,0.00526497,0.20%,37290283556,0.00525445,-655.6628598
22/08/2018 09:03,NEOS/BTC,Exchange,Sell,0.0001284,2.60353453,0.00033429,0.20%,25496660880,0.00033363,-2.60353453
22/08/2018 09:03,PPC/BTC,Exchange,Sell,0.00017717,0.78460718,0.000139,0.20%,23893526631,0.00013873,-0.78460718
22/08/2018 09:01,LTC/BTC,Exchange,Sell,0.00858,0.1996,0.00171256,0.20%,1.88587E+11,0.00170914,-0.1996
21/08/2018 01:53,LBC/BTC,Exchange,Buy,0.00000834,13.25364131,0.00011053,0.20%,37277061791,-0.00011053,13.22713403
20/08/2018 23:50,PPC/BTC,Exchange,Buy,0.00017986,0.78617953,0.0001414,0.20%,23881173996,-0.0001414,0.78460718
20/08/2018 17:11,NEOS/BTC,Exchange,Buy,0.00013548,2.60875203,0.00035343,0.20%,25487337213,-0.00035343,2.60353453
20/08/2018 07:33,LBC/BTC,Exchange,Buy,0.00000838,250,0.002095,0.20%,37269735125,-0.002095,249.5
20/08/2018 07:02,LBC/BTC,Exchange,Buy,0.0000084,115.8233516,0.00097291,0.20%,37269401459,-0.00097291,115.5917049
20/08/2018 06:30,LBC/BTC,Exchange,Buy,0.0000084,115.0420953,0.00096635,0.20%,37269206654,-0.00096635,114.8120111
20/08/2018 05:59,LBC/BTC,Exchange,Buy,0.00000842,162.8577252,0.00137126,0.20%,37268999861,-0.00137126,162.5320098
19/08/2018 14:02,LTC/BTC,Exchange,Sell,0.00908251,0.198101,0.00179925,0.20%,1.88176E+11,0.00179566,-0.198101
19/08/2018 08:06,LTC/BTC,Exchange,Buy,0.00888798,0.2,0.00177759,0.20%,1.88152E+11,-0.00177759,0.1996
18/08/2018 14:40,LTC/BTC,Exchange,Sell,0.00891164,0.00000078,0,0.10%,1.88067E+11,0,-0.00000078
18/08/2018 14:40,LTC/BTC,Exchange,Sell,0.00891164,0.12309,0.00109693,0.10%,1.88067E+11,0.00109584,-0.12309
18/08/2018 14:39,LTC/BTC,Exchange,Sell,0.00891164,0.00000003,0,0.10%,1.88067E+11,0,-0.00000003
18/08/2018 14:39,LTC/BTC,Exchange,Sell,0.00891164,0.00000011,0,0.10%,1.88067E+11,0,-0.00000011
18/08/2018 14:39,LTC/BTC,Exchange,Sell,0.00891164,0.00004325,0.00000038,0.10%,1.88067E+11,0.00000038,-0.00004325
18/08/2018 14:37,LTC/BTC,Exchange,Sell,0.00891164,0.0000106,0.00000009,0.10%,1.88067E+11,0.00000009,-0.0000106
18/08/2018 14:37,LTC/BTC,Exchange,Sell,0.00891164,0.00000843,0.00000007,0.10%,1.88067E+11,0.00000007,-0.00000843
18/08/2018 14:35,BCH/BTC,Exchange,Sell,0.08855,0.02712207,0.00240165,0.10%,95436235422,0.00239925,-0.02712207
15/08/2018 11:46,BCH/BTC,Exchange,Buy,0.08066626,0.01366457,0.00110226,0.20%,94874902317,-0.00110226,0.01363725
08/08/2018 16:25,LTC/BTC,Exchange,Buy,0.00983271,0.1234,0.00121335,0.20%,1.86662E+11,-0.00121335,0.1231532
